urn,name,address1,address2,town,postcode,p8mea
144094,Marshalls Park Academy,Pettits Lane,,Romford,RM1 4EH,-0.26
137396,Redden Court School,Cotswold Road,Harold Wood,Romford,RM3 0TS,0.33
143877,The Royal Liberty School,Upper Brentwood Road,,Romford,RM2 6HJ,0.47
137233,Sacred Heart of Mary Girls' School,St Mary's Lane,,Upminster,RM14 2QR,0.71
145944,St Edward's Church of England Academy,London Road,,Romford,RM7 9NX,0.05
146309,Sanders Draper,Suttons Lane,,Hornchurch,RM12 6RT,-0.37
137844,Barnhill Community High School,Yeading Lane,,Hayes,UB4 9LE,0.62
137407,Bishop Ramsey Church of England School,Hume Way,,Ruislip,HA4 8EE,0.2
137633,Bishopshalt School,Royal Lane,Hillingdon,Uxbridge,UB8 3RF,1.05
141035,De Salis Studio College,Wood End Green Road,,Hayes,UB4 8JP,0.47
137925,The Douay Martyrs Catholic School,Edinburgh Drive,Ickenham,Uxbridge,UB10 8QY,0.55
142887,Global Academy,The Old Vinyl Factory,1 Record Walk,Middlesex,UB3 1DH,-1.9
136329,Guru Nanak Sikh Academy,Springfield Road,,Hayes,UB4 0LT,0.44
135004,Harefield School,Northwood Way,Harefield,Uxbridge,UB9 6ET,-0.66
102451,Harlington School,Pinkwell Lane,Harlington,Hayes,UB3 1PB,0.27
136519,Haydon School,Wiltshire Lane,Eastcote,Pinner,HA5 2LX,-0.19
137078,Hewens College,Hewens Road,,Hayes,UB4 8JP,0.2
137829,Northwood School,Pinner Road,,Northwood,HA6 1QN,0.76
102449,Oak Wood School,Sutton Court Road,Hillingdon,Uxbridge,UB10 9HT,-0.24
145121,Park Academy West London,Park View Road,,Hillingdon,UB8 3GA,-0.3
138368,Parkside Studio College,Wood End Green Road,,Hayes,UB3 2SE,-1.31
136711,Queensmead School,Queens Walk,,Ruislip,HA4 0LS,0.68
137077,Rosedale College,Wood End Green Road,,Hayes,UB3 2SE,0.31
140748,Ruislip High School,Sidmouth Drive,,Ruislip,HA4 0BY,0.62
136631,Swakeleys School for Girls,Clifton Gardens,Hillingdon,Uxbridge,UB10 0EJ,0.64
146375,UTC Heathrow,Potter Street,,Northwood,HA6 1QG,-1.61
136768,Uxbridge High School,The Greenway,,Uxbridge,UB8 2PR,0.12
137635,Vyners School,Warren Road,Ickenham,Uxbridge,UB10 8AB,0.36
145866,Bolder Academy,1 Macfarlane Lane,,Isleworth,TW7 5DB,0.36
139095,Brentford School for Girls,5 Boston Manor Road,,Brentford,TW8 0PG,0.25
137907,Chiswick School,Burlington Lane,Chiswick,London,W4 3UN,0.45
136522,Cranford Community College,High Street,Cranford,Hounslow,TW5 9PD,0.6
144515,The Green School for Boys,Twickenham Road,,Isleworth,TW7 6AU,0.2
139989,The Green School for Girls,Busch Corner,London Road,Isleworth,TW7 5BB,0.64
137928,"Gumley House RC Convent School, FCJ",St John's Road,,Isleworth,TW7 6XF,0.73
102545,Gunnersbury Catholic School,The Ride,Boston Manor Road,Brentford,TW8 9LB,0.99
102539,The Heathland School,Wellington Road South,,Hounslow,TW4 5JD,0.49
138924,Heston Community School,Heston Road,Heston,Hounslow,TW5 0QR,0.29
137940,Isleworth and Syon School for Boys,Ridgeway Road,,Isleworth,TW7 5LJ,0.09
139276,Kingsley Academy,Cecil Road,,Hounslow,TW3 1AX,0.39
136341,Lampton Academy,Lampton Avenue,,Hounslow,TW3 4EP,0.49
142781,Logic Studio School,Browells Lane,,Feltham,TW13 7EF,0.11
139720,Nishkam School West London,152 Syon Lane,,Osterley,TW7 5PN,0.92
138266,Reach Academy Feltham,53-55 High Street,,Feltham,TW13 4AB,0.94
137009,Rivers Academy West London,Tachbrook Road,,Feltham,TW14 9PE,0.32
137995,St Mark's Catholic School,106 Bath Road,,Hounslow,TW3 3EJ,1.35
142126,Space Studio West London,Letchworth Avenue,Feltham,Hounslow,TW14 9PE,-1.13
137618,Springwest Academy,Browells Lane,,Feltham,TW13 7EF,0.23
148407,Chessington School,Garrison Lane,,Chessington,KT9 2JS,0.15
137859,Coombe Boys' School,"College Gardens, Blakes Lane",,New Malden,KT3 6NU,0.36
137848,Coombe Girls' School,Clarence Avenue,,New Malden,KT3 3TU,0.7
137678,The Hollyfield School and Sixth Form Centre,Surbiton Hill Road,,Surbiton,KT6 4TU,0.28
138459,The Holy Cross School,25 Sandal Road,,New Malden,KT3 5AR,0.95
141862,The Kingston Academy,Richmond Road,,Kingston upon Thames,KT2 5PE,1.16
137299,Richard Challoner School,Manor Drive North,,New Malden,KT3 5PE,0.84
137917,Southborough High School,Hook Road,,Surbiton,KT6 5AS,0.29
136615,The Tiffin Girls' School,Richmond Road,,Kingston upon Thames,KT2 5PL,1.06
136910,Tiffin School,Queen Elizabeth Road,,Kingston upon Thames,KT2 6RL,0.86
137060,Tolworth Girls' School and Sixth Form,Tala Close,Tolworth Girls' School and Sixth Form,Surbiton,KT6 7EY,0.87
131897,Harris Academy Merton,Wide Way,,Mitcham,CR4 1BP,0.67
138495,Harris Academy Morden,Lilleshall Road,,Morden,SM4 6DU,0.49
145860,Harris Academy Wimbledon,59 High Path,,London,SW19 2JY,0.62
102674,Raynes Park High School,Bushey Road,,London,SW20 0JL,0.22
102673,Ricards Lodge High School,Lake Road,Wimbledon,London,SW19 7HB,0.66
102679,Rutlish School,Watery Lane,Merton Park,London,SW20 9AD,0.68
134003,St Mark's Church of England Academy,Acacia Road,,Mitcham,CR4 1SF,0.7
102683,Ursuline High School Wimbledon,Crescent Road,Wimbledon,London,SW20 8HA,0.87
102681,Wimbledon College,Edge Hill,,London,SW19 4NS,0.86
144739,Bobby Moore Academy,1 Siding Street,Queen Elizabeth Olympic Park,London,E20 2AE,-0.37
136669,Brampton Manor Academy,Roman Road,,London,E6 3SQ,0.59
145113,Cumberland Community School,Oban Close,,London,E13 8SJ,0.71
148224,Eastlea Community School,Pretoria Road,Canning Town,London,E16 4NP,-0.29
143274,Forest Gate Community School,Forest Lane,,London,E7 9BB,1.05
139703,Harris Academy Chobham,40 Cheering Lane,,London,E20 1BD,0.16
149431,Harris Science Academy East London,Three Mill Lane,,London,E3 3DU,0.17
132058,Kingsford Community School,Kingsford Way,Beckton,London,E6 5JG,0.16
140373,Langdon Academy,Sussex Road,East Ham,London,E6 2PS,0.54
148902,Lister Community School,St Mary's Road,Plaistow,London,E13 9AE,-0.31
102776,Little Ilford School,Rectory Road,Manor Park,London,E12 6JB,0.25
142903,London Design and Engineering UTC,15 University Way,,London,E16 2RD,-0.38
141082,Oasis Academy Silvertown,303 North Woolwich Road,,London,E16 2BB,-0.78
102782,Plashet School,Plashet Grove,East Ham,London,E6 1DG,0.87
148901,Rokeby School,Barking Road,,London,E16 4DD,0.05
145410,Royal Docks Academy,Prince Regent Lane,Custom House,London,E16 3HS,-0.41
102786,St Angela's Ursuline School,St George's Road,Forest Gate,London,E7 8HU,0.34
102787,St Bonaventure's RC School,Boleyn Road,Forest Gate,London,E7 9QD,0.17
142644,Sarah Bonnell School,Deanery Road,Stratford,London,E15 4LP,0.46
138196,School 21,Pitchford Street,,Stratford,E15 4RZ,-0.05
136978,Stratford School Academy,Upton Lane,Forest Gate,London,E7 9PR,0.58
138518,Ark Isaac Newton Academy,1 Cricklefield Place,,Ilford,IG1 1FY,0.9
142896,Atam Academy,Little Heath,,Romford,RM6 4XX,0.52
140575,Beal High School,Woodford Bridge Road,,Ilford,IG4 5LP,0.62
102849,Caterham High School,Caterham Avenue,Clayhall,Ilford,IG5 0QW,-0.31
136267,Chadwell Heath Academy,Christie Gardens,Chadwell Heath,Romford,RM6 4RS,0.37
137692,Forest Academy,Harbourer Road,Hainault,Ilford,IG6 3TN,0.11
102850,Ilford County High School,Fremantle Road,Barkingside,Ilford,IG6 2JB,0.87
102861,King Solomon High School,Forest Road,Barkingside,Ilford,IG6 3HB,0.36
140475,Loxford School,Loxford Lane,,Ilford,IG1 2UT,1.08
102858,Mayfield School,Pedley Road,,Dagenham,RM8 1XE,0
133405,Oaks Park High School,45-65 Oaks Lane,Newbury Park,Ilford,IG2 7PQ,0.63
137088,The Palmer Catholic Academy,Aldborough Road South,Seven Kings,Ilford,IG3 8EU,0.49
102856,Seven Kings School,Ley Street,,Ilford,IG2 7BT,1.12
102860,Trinity Catholic High School,Mornington Road,,Woodford Green,IG8 0TP,0.24
137418,The Ursuline Academy Ilford,Morland Road,,Ilford,IG1 4JU,0.75
102857,Valentines High School,Cranbrook Road,,Ilford,IG2 6HX,0.91
102851,Wanstead High School,Redbridge Lane West,Wanstead,London,E11 2JZ,0.28
102854,Woodbridge High School,St Barnabas Road,,Woodford Green,IG8 7DQ,0.38
102852,Woodford County High School,High Road,,Woodford Green,IG8 9LA,0.79
102929,Christ's Church of England Comprehensive Secondary School,Queens Road,,Richmond,TW10 6HW,0.31
138825,Grey Court School,Ham Street,Ham,Richmond,TW10 7HN,0.85
143419,Hampton High,Hanworth Road,,Hampton,TW12 3HB,-0.32
138651,Orleans Park School,Richmond Road,,Twickenham,TW1 3BB,0.88
136208,Richmond Park Academy,Park Avenue,,London,SW14 8RG,0.49
143022,The Richmond upon Thames School,Egerton Road,,Twickenham,TW2 7SL,0.06
149297,St Richard Reynolds Catholic High School,Clifden Road,Twickenham,London,TW1 4LT,0.66
138460,Teddington School,Broom Road,,Teddington,TW11 9PJ,0.23
141963,Turing House School,Hospital Bridge Road,,Twickenham,TW2 6LH,0.67
143420,Twickenham School,Percy Road,,Twickenham,TW2 6JW,0.2
138461,Waldegrave School,Fifth Cross Road,,Twickenham,TW2 5LH,0.78
136799,Carshalton Boys Sports College,Winchcombe Road,,Carshalton,SM5 1RW,-0.14
136797,Carshalton High School for Girls,West Street,,Carshalton,SM5 2QX,0.42
136785,Cheam High School,Chatsworth Road,Cheam,Sutton,SM3 8PW,0.05
136914,Glenthorne High School,Sutton Common Road,,Sutton,SM3 9PS,0.75
136800,Greenshaw High School,Grennell Road,,Sutton,SM1 3DY,0.38
143706,Harris Academy Sutton,2 Chiltern Road,,Sutton,SM2 5RD,0.91
103009,The John Fisher School,Peaks Hill,,Purley,CR8 3YP,0.28
136795,Nonsuch High School for Girls,Ewell Road,Cheam,Sutton,SM3 8AB,1.02
147538,Oaks Park High School,Damson Way,,Carshalton,SM5 4NS,-0.55
136756,Overton Grange School,36 Stanley Road,,Sutton,SM2 6TQ,-0.17
103013,St Philomena's Catholic High School for Girls,Shorts Road,,Carshalton,SM5 3PS,0.68
136787,Sutton Grammar School,Manor Lane,,Sutton,SM1 4AS,1.16
136798,Wallington County Grammar School,Croydon Road,,Wallington,SM6 7PH,0.95
136789,Wallington High School for Girls,Woodcote Road,,Wallington,SM6 0PH,0.92
136621,Wilson's School,Mollison Drive,,Wallington,SM6 9JW,1.27
103080,Buxton School,234 Cann Hall Road,Leytonstone,London,E11 3NN,0.21
138691,Chingford Foundation School,Nevin Drive,Chingford,London,E4 7LT,-0.14
139293,Connaught School for Girls,Dyers Hall Road,Leytonstone,London,E11 4AE,-0.18
140957,"Eden Girls' School, Waltham Forest",Blackhorse Lane,Walthamstow,London,E17 5SD,0.94
103094,Frederick Bremer School,Siddeley Road,Walthamstow,London,E17 4EY,-0.25
145106,George Mitchell School,Farmer Road,Leyton,London,E10 5DN,-0.24
103097,Heathcote School & Science College,Normanton Park,Chingford,London,E4 6ES,-0.37
137558,Highams Park School,34 Handsworth Avenue,Highams Park,London,E4 9PJ,0.08
103106,Holy Family Catholic School,1 Shernhall Street,Walthamstow,London,E17 3EA,-0.04
103105,Kelmscott School,245 Markhouse Road,Walthamstow,London,E17 8DN,-0.33
145708,Lammas School,150 Seymour Road,Leyton,London,E10 7LX,-0.77
103101,Leytonstone School,Colworth Road,Leytonstone,London,E11 1JD,-0.17
143385,Norlington School and 6th Form,Norlington Road,Leyton,London,E10 6JZ,0.34
138859,South Chingford Foundation School,Stadium Close,Chingford,London,E4 8SG,-0.79
132727,Walthamstow Academy,Billet Road,Walthamstow,London,E17 5DP,0.49
103103,Walthamstow School for Girls,Church Hill,Walthamstow,London,E17 9RZ,0.43
103100,Willowfield School,209 Blackhorse Road,Walthamstow,London,E17 6ND,-0.02
136625,Davenant Foundation School,Chester Road,,Loughton,IG10 2LD,0.47
136555,Debden Park High School,Willingale Road,Debden,Loughton,IG10 2BQ,0.02
136342,King Harold Business & Enterprise Academy,Broomstick Hall Road,,Waltham Abbey,EN9 1LF,-0.34
145597,Roding Valley High School,Alderton Hill,,Loughton,IG10 3JA,-0.21
136758,West Hatch High School,High Road,,Chigwell,IG7 5BT,0.24
133114,The Gateway Academy,Marshfoot Road,,Grays,RM16 4LU,0.07
115239,Grays Convent High School,College Avenue,,Grays,RM17 5UX,0.76
137549,Harris Academy Chafford Hundred,Mayflower Road,Chafford Hundred,Grays,RM16 6SA,1.04
147537,Harris Academy Ockendon,Erriff Drive,,South Ockendon,RM15 5AY,0.46
144750,Harris Academy Riverside,London Road,,Purfleet,RM19 1QY,0.23
139578,The Hathaway Academy,Hathaway Road,,Grays,RM17 5LL,-0.38
135960,Ormiston Park Academy,Belhus Park Lane,Aveley,South Ockendon,RM15 4RU,-0.73
137214,William Edwards School,Stifford Clays Road,Stifford Clays,Grays,RM16 3NJ,-0.29
136359,Dartford Grammar School,West Hill,,Dartford,DA1 2HW,1.11
144100,Dartford Grammar School for Girls,Shepherds Lane,,Dartford,DA1 2NT,0.82
118785,Dartford Science & Technology College,Heath Lane,,Dartford,DA1 2LY,-0.04
137581,Ebbsfleet Academy,Southfleet Road,,Swanscombe,DA10 0BZ,-0.13
137099,Gravesend Grammar School,Church Walk,,Gravesend,DA12 2PR,0.18
140987,The Leigh UTC,Brunel Way,,Dartford,DA1 5TF,-0.35
135630,Longfield Academy,Main Road,,Longfield,DA3 7PH,-0.38
137834,"Mayfield Grammar School, Gravesend",Pelham Road,,Gravesend,DA11 0JE,0.38
139075,Meopham School,Wrotham Road,Meopham,Gravesend,DA13 0AH,-0.4
118788,Northfleet School for Girls,Hall Road,Northfleet,Gravesend,DA11 8AQ,-0.17
118928,Northfleet Technology College,Colyer Road,Northfleet,Gravesend,DA11 8BG,-0.49
136304,Orchards Academy,St Mary's Road,,Swanley,BR8 7TE,0.03
137609,Saint George's Church of England School,Meadow Road,,Gravesend,DA11 7LS,-0.05
118933,St John's Catholic Comprehensive,Rochester Road,,Gravesend,DA12 2JW,0.11
135297,Sir Geoffrey Leigh Academy,Green Street Green Road,,Dartford,DA1 1QE,0.14
147059,Stone Lodge School,Stone Lodge Road,,Dartford,DA2 6FY,-0.15
118879,Thamesview School,Thong Lane,,Gravesend,DA12 4LF,-0.72
136205,Wilmington Academy,Common Lane,,Wilmington,DA2 7DR,0.23
137227,Wilmington Grammar School for Boys,Common Lane,Wilmington,Dartford,DA2 7DA,0.65
137250,Wilmington Grammar School for Girls,Wilmington Grange,Parsons Lane,Dartford,DA2 7BB,0.76
136396,The Broxbourne School,Badgers Walk,,Broxbourne,EN10 7FU,0.1
137872,Bushey Meads School,Coldharbour Lane,,Bushey,WD23 4PA,-0.45
144402,Croxley Danes School,Baldwins Lane,Croxley Green,Rickmansworth,WD3 3LR,0.1
136554,Dame Alice Owen's School,Dugdale Hill Lane,,Potters Bar,EN6 2DU,0.92
139416,Elstree Screen Arts Academy,Studio Way,Elstree,Borehamwood,WD6 5NN,-0.79
135876,Future Academies Watford,Horseshoe Lane,Garston,Watford,WD25 7HW,-0.16
145297,Goffs - Churchgate Academy,College Road,Cheshunt,Waltham Cross,EN8 9LY,0.37
137532,Goffs Academy,Goffs Lane,Cheshunt,Waltham Cross,EN7 5QW,0.22
147785,The Grange Academy,London Road,,Bushey,WD23 3AA,-0.29
142051,Haileybury Turnford,Mill Lane,Cheshunt,Waltham Cross,EN8 0JU,-0.05
138747,Hertswood Academy,Cowley Hill,,Borehamwood,WD6 5LG,-0.19
139036,Kings Langley School,Love Lane,,Kings Langley,WD4 9HN,0.07
137224,Mount Grace School,Church Road,,Potters Bar,EN6 1EZ,-0.47
136899,Parmiter's School,High Elms Lane,Garston,Watford,WD25 0UU,0.74
136877,Queens' School,Aldenham Road,,Bushey,WD23 2TY,0.2
139662,The Reach Free School,Long Lane,,Rickmansworth,WD3 8AB,-0.02
136606,Rickmansworth School,Scots Hill,,Rickmansworth,WD3 3AQ,0.3
143131,Robert Barclay Academy,Cock Lane,,Hoddesdon,EN11 8JY,0.11
136901,St Clement Danes School,Chenies Road,Chorleywood,Rickmansworth,WD3 6EW,0.74
137914,Saint Joan of Arc Catholic School,High Street,,Rickmansworth,WD3 1HG,0.34
138360,St Mary's Church of England High School (VA),Lieutenant Ellis Way,Cheshunt,Waltham Cross,EN7 5FB,-0.07
137922,Saint Michael's Catholic High School,High Elms Lane,Garston,Watford,WD25 0SS,0.13
136276,Watford Grammar School for Boys,Rickmansworth Road,,Watford,WD18 7JF,0.72
136289,Watford Grammar School for Girls,Lady's Close,,Watford,WD18 0AE,0.74
140049,Westfield Academy,Tolpits Lane,,Watford,WD18 6NS,-0.03
136922,Yavneh College,Hillside Avenue,,Borehamwood,WD6 1HL,0.97
137735,The Beacon School,Picquets Way,,Banstead,SM7 1AG,-0.14
138491,The Bishop Wand Church of England School,Layton's Lane,,Sunbury-on-Thames,TW16 6LT,0.4
137906,Blenheim High School,Longmead Road,,Epsom,KT19 9BH,0.27
144741,Chertsey High School,Chertsey Road,,Addlestone,KT15 2EP,-0.03
138226,Cobham Free School,Portsmouth Road,,Cobham,KT11 1TF,0.53
143808,de Stafford School,Burntwood Lane,,Caterham,CR3 5YX,-0.11
137595,Epsom and Ewell High School,Ruxley Lane,West Ewell,Epsom,KT19 9JW,-0.39
140650,Esher Church of England High School,More Lane,,Esher,KT10 8AP,0.22
137003,Fullbrook School,Selsdon Road,New Haw,Addlestone,KT15 3HW,-0.12
136534,Glyn School,The Kingsway,Ewell,Epsom,KT17 1NB,0.46
142314,Heathside School,Brooklands Lane,,Weybridge,KT13 8UZ,0.42
137855,Hinchley Wood School,Claygate Lane,Hinchley Wood,Esher,KT10 0AQ,0.68
136833,Howard of Effingham School,Lower Road,Effingham,Leatherhead,KT24 5JR,0.24
139948,Jubilee High School,School Lane,,Addlestone,KT15 1TE,-0.24
137116,The Magna Carta School,Thorpe Road,,Staines,TW18 3HJ,0.13
138765,The Matthew Arnold School,Kingston Road,,Staines-upon-Thames,TW18 1PF,-0.24
137736,Rosebery School,Whitehorse Drive,,Epsom,KT18 7NQ,0.79
125275,St Andrew's Catholic School,Grange Road,,Leatherhead,KT22 7JP,1.2
149290,St Paul's Catholic College,Manor Lane,,Sunbury-on-Thames,TW16 6JE,0.85
143367,"Salesian School, Chertsey",Guildford Road,,Chertsey,KT16 9LU,0.96
136529,Sunbury Manor School,Nursery Road,,Sunbury-on-Thames,TW16 6LF,-0.67
137237,Thamesmead School,Manygate Lane,,Shepperton,TW17 9EE,0.19
143902,Therfield School,Dilston Road,,Leatherhead,KT22 7NZ,0.08
136832,Thomas Knyvett College,Stanwell Road,,Ashford,TW15 3DU,-0.39
144503,Three Rivers Academy,Bell Farm Way,,Walton-on-Thames,KT12 5EJ,-0.67
138928,Warlingham School,Tithepit Shaw Lane,,Warlingham,CR6 9YB,-0.18
