urn,name,address1,address2,town,postcode,p8mea
100642,London Nautical School,61 Stamford Street,Waterloo,London,SE1 9NA,-0.26
100624,The Norwood School,Crown Dale,Lambeth,London,SE19 3NY,0.03
139659,Oasis Academy South Bank,75 Westminster Bridge Road,,London,SE1 7HS,0.81
136450,Platanos College,Clapham Road,,London,SW9 0AL,-0.22
100627,Saint Gabriel's College,Langton Road,,London,SW9 6UL,0.2
140966,Trinity Academy,Brixton Hill,Brixton,London,SW2 1QS,-0.18
100590,Woodmansterne School,Woodmansterne Road,Streatham,London,SW16 5UQ,0.24
100748,Addey and Stanhope School,472 New Cross Road,New Cross,London,SE14 6TJ,-0.38
150605,Bonus Pastor Catholic College,Winlaton Road,Downham,Bromley,BR1 5PZ,0.43
100740,Deptford Green School,Edward Street,New Cross,London,SE14 6AN,0.05
100745,Forest Hill School,Dacres Road,Forest Hill,London,SE23 2XN,0.3
135073,Haberdashers' Hatcham College,Pepys Road,,London,SE14 5SF,0.08
135070,Haberdashers' Knights Academy,Launcelot Road,,Bromley,BR1 5EB,0.18
150318,Prendergast Ladywell School,Manwood Road,Brockley,Lewisham,SE4 1SA,-0.29
150319,Prendergast School,Adelaide Avenue,Brockley,London,SE4 1LE,0.57
150351,Prendergast Vale School,Elmira Street,Lewisham,London,SE13 7BN,0.04
135264,St Matthew Academy,St Joseph's Vale,,London,SE3 0XX,0.57
148003,Sedgehill Academy,Sedgehill Road,Lewisham,London,SE6 3QW,0.2
100741,Sydenham School,Dartmouth Road,,London,SE26 4RD,0.1
100749,"Trinity Church of England School, Lewisham",Taunton Road,,London,SE12 8PD,0.53
139718,Ark All Saints Academy,140 Wyndham Road,Camberwell,London,SE5 0UB,0.44
135584,Ark Globe Academy,Harper Road,,London,SE1 6AG,0.22
135315,Ark Walworth Academy,Shorncliffe Road,,London,SE1 5UJ,0.18
145313,Bacon's College,Timber Pond Road,,London,SE16 6AT,0.4
139587,The Charter School Bermondsey,Keeton's Road,,London,SE16 4EE,0.08
142178,The Charter School East Dulwich,Jarvis Road,East Dulwich,London,SE22 8RB,0.19
136298,The Charter School North Dulwich,Red Post Hill,,London,SE24 9JH,0.8
134222,City of London Academy (Southwark),240 Lynton Road,,London,SE1 5LA,0.48
147073,Haberdashers' Borough Academy,94B Southwark Bridge Road,,London,SE1 0EX,-0.23
131747,Harris Academy Bermondsey,55 Southwark Park Road,,London,SE16 3TZ,0.55
134225,Harris Academy Peckham,112 Peckham Road,,London,SE15 5DZ,0.29
135816,Harris Boys' Academy East Dulwich,Peckham Rye,East Dulwich,London,SE22 0AT,0.98
132711,Harris Girls' Academy East Dulwich,Homestall Road,,London,SE22 0NR,0.4
136309,Kingsdale Foundation School,Alleyn Park,Dulwich,London,SE21 8SQ,0.68
149369,Notre Dame Catholic Girls' School,118 St George's Road,,London,SE1 6EX,0.25
138960,Sacred Heart Catholic School,Camberwell New Road,,London,SE5 0RP,1.24
100849,St Saviour's and St Olave's Church of England School,New Kent Road,,London,SE1 4AN,0.58
100857,The St Thomas the Apostle College,Hollydale Road,Nunhead,London,SE15 2EB,1.45
140221,South Bank University Academy,Trafalgar Street,,London,SE17 2TP,-0.16
150606,Bishop Challoner Catholic School,352 Commercial Road,,London,E1 0LB,-0.27
100965,Bow School,44 Twelvetrees Crescent,Bow,London,E3 3QW,-0.39
142879,Canary Wharf College Crossharbour,7 Selsdon Way,,London,E14 9GL,0.32
100975,Central Foundation Girls' School,Bow Road,,London,E3 2AE,0.5
100974,George Green's School,100 Manchester Road,Isle of Dogs,London,E14 3DW,0.06
100966,Langdon Park Community School,Bright Street,Poplar,London,E14 0RZ,-0.34
141133,London Enterprise Academy,81-91 Commercial Road,Whitechapel,London,E1 1RD,-0.1
100967,Morpeth School,Portman Place,Bethnal Green,London,E2 0PX,0.24
137789,Mulberry Academy Shoreditch,Gosset Street,Bethnal Green,London,E2 6NW,0.01
143629,Mulberry School for Girls,Richard Street,Commercial Road,London,E1 2JP,0.61
144700,Mulberry Stepney Green Mathematics and Computing College,Ben Jonson Road,Stepney,London,E1 4SD,0.13
144756,Mulberry UTC,64 Parnell Road,,London,E3 2RU,-0.98
100972,Oaklands School,Old Bethnal Green Road,Bethnal Green,London,E2 6PR,0.41
143379,St Paul's Way Trust School,125 St Paul's Way,,London,E3 4FT,0.54
100977,Stepney All Saints Church of England Secondary School,Stepney Way,Stepney,London,E1 0RH,0.77
100973,Swanlea School,31 Brady Street,Whitechapel,London,E1 5DJ,0.81
138202,Wapping High School,153 Commercial Road,,London,E1 2DA,0.04
138267,Ark Bolingbroke Academy,Wakehurst Road,,London,SW11 6BF,1.04
138681,Ark Putney Academy,Pullman Gardens,Putney,London,SW15 3DG,0.23
135316,Ashcroft Technology Academy,100 West Hill,Wandsworth,London,SW15 2UT,1.34
139842,Burntwood School,Burntwood Lane,,London,SW17 0AQ,0.34
136883,Chestnut Grove Academy,Chestnut Grove,Balham,London,SW12 8JZ,0.42
149543,Ernest Bevin Academy,Beechcroft Road,Tooting,London,SW17 7DF,0.59
137005,Graveney School,Welham Road,Tooting,London,SW17 9BU,0.74
140985,Harris Academy Battersea,401 Battersea Park Road,,London,SW11 5AP,0.32
141808,Saint Cecilia's Church of England School,Sutherland Grove,,London,SW18 5JR,0.35
135762,Saint John Bosco College,Parkham Street,Battersea,London,SW11 3DQ,0.17
138682,Southfields Academy,333 Merton Road,Wandsworth,London,SW18 5JU,0.48
135242,Ark King Solomon Academy,Penfold Street,,London,NW1 6RX,1.18
138313,The Grey Coat Hospital,Greycoat Place,,London,SW1P 2DY,1.04
145126,Harris Academy St John's Wood,Marlborough Hill,,London,NW8 0NL,0.53
140884,Marylebone Boys' School,North Wharf Road,,London,W2 1QZ,0.16
130912,Paddington Academy,50 Marylands Road,,London,W9 2DR,0.85
135676,Pimlico Academy,Lupus Street,Pimlico,London,SW1V 3AT,0.27
101154,St Augustine's Federated Schools: CE High School,Kilburn Park Road,,London,NW6 5SN,0.11
139369,St George's Catholic School,Lanark Road,Maida Vale,London,W9 1RB,0.72
137353,The St Marylebone CofE School,64 Marylebone High Street,,London,W1U 5BA,0.69
